id	filename	md5	size	state
3d12e990-0268-44eb-98a9-829ed5ec12d5	TCGA-28-1751-01A-01-BS1.71120b58-ac86-4c99-bf81-73d8c08ac74d.svs	62b443e0d819641774b8da244c6cc1e1	198205773	live
944e4f50-9aed-4b35-a9df-3cb57968c3a2	TCGA-02-0028-01A-01-TS2.d9b3c085-9d7f-4b74-a7fc-b30bca81b178.svs	6af710ae06c5549c0a50423716230867	429078435	live
84636c80-a0c9-40a4-992e-cfaafd97d439	TCGA-06-5413-01A-01-TS1.76d65933-3c98-4958-a987-b59bb58ed654.svs	088a3d573182839270494d282c59b330	13950735	live
d9a0ca63-40e6-4730-a3c1-054a41d1625d	TCGA-14-0790-01B-01-BS1.a3f02379-4365-43f1-a70a-0a41e9248364.svs	0975644e892dd5665811d1ade605d75c	108902997	live
74baa625-c523-4a9d-aef3-d64465d50d14	TCGA-02-0060-01A-01-BS1.d87256b7-42f8-4d4c-8735-69ffe714248c.svs	00a034ace40b48f4ce2f60253029168a	745726917	live
8d2d76d5-299c-4060-a217-f281704deab5	TCGA-15-0742-01A-01-TS1.63b2ae56-8499-4f88-835b-7c7be5a79a4d.svs	b962d17fb440258066f4f96f0bf35ee3	135822055	live
20c3f93f-6514-438f-bee8-a2b4a882952c	TCGA-02-0014-01A-01-BS1.c0d26a6a-e351-46c2-bce4-7ea67c1007dd.svs	45ee98630f2b74b0d7d22a4ef45952b4	151670755	live
ba333263-0c7b-4a69-9802-64ff9ed8615b	TCGA-06-0221-01A-01-BS1.efc308b8-29f7-4c85-8850-479c5af0ed7f.svs	7aa2cc2bf9684662dfb9ef8511e4b833	200611479	live
300d16a7-ee72-408f-b7c6-a78c044a647d	TCGA-06-0148-01A-02-BS2.6898d810-a7a5-48fb-b8ae-48e6bad27a61.svs	b8226ffe2bd7212e51372a786010eecb	145274673	live
56ea2783-56d8-4d95-816d-0cb89ace873b	TCGA-15-1447-01A-01-TS1.5d190d3e-131f-43c0-aa6c-fe2a1080ede5.svs	9a8309b2d7d693d0a22b4d9f8fc562f3	275857495	live
85f51b20-4449-4a79-b17a-77c95f1fe9df	TCGA-02-0336-01A-01-BS1.1149abc7-38fd-4d10-b1e9-7caa8011a3c7.svs	61b3ed66461201c7dafa56d48e640d8c	280647481	live
6cfcf06b-2a34-4ffb-9002-bef13f685432	TCGA-08-0358-01A-01-BS1.095dda7b-9ddd-4b1d-b00b-c3bcbefce30c.svs	273a7794f669e410d3ad76d8bde2b093	102661171	live
ceb12901-b141-4727-b0cf-159b0f1efd5c	TCGA-32-1973-01A-01-BS1.77f37618-8ce7-4bdd-8b02-cbc3e6a299ed.svs	f7eddbe76607e95644383f3b126b45b1	39825361	live
ecf7a326-1350-4c06-aceb-70bc2b6a63cc	TCGA-08-0521-01A-01-TS1.5a7e0c3f-6f7c-4543-bdbb-3f80f5dbf67f.svs	0b01950cf7bd2b8418f424bcca25f7e7	48907155	live
2dfd3063-8ddf-416e-995f-13f68c46abe1	TCGA-28-2499-01A-01-BS1.9e4ca905-498f-4abe-9c4d-960218ac0917.svs	99bd6fac03d15902dea581d5d2229982	27247473	live
9671c218-db9f-4113-985a-b613722d5ac9	TCGA-15-0742-01A-01-BS1.457437c3-c14b-4d07-85a9-9ee1088a28b5.svs	9f145a3f80a3196603bf3e9077a33af9	219280843	live
3a4b03b0-2432-4e28-9f86-9ad177ee3982	TCGA-06-5412-01A-01-TS1.4e47da5e-588a-4cc1-8c10-a701764b1f7c.svs	bb067d0e4635ad5f6672d4648905e33b	10392911	live
83ddf39e-4d61-498b-aab7-35569ff150f5	TCGA-06-0137-01B-01-BS1.a7a21882-a6be-4079-b095-e824a2cdda12.svs	c877d4d191585d72e4ca967311ffe02b	89582191	live
a2a8b2a0-7a29-4f21-9a90-9aea392f4d14	TCGA-02-0023-01B-01-TS1.8bce3519-fded-4567-89a7-cc7638a442da.svs	69e5715d46b6a681cae92f31c6e37f50	368166351	live
4570fb21-63fb-4fe5-b20d-f0f3a75606aa	TCGA-06-0127-01A-01-BS1.06d123be-37ef-4b00-89cb-4066ab09ea4d.svs	95c21fa102f2f6eda13844a5df679122	157888759	live
d5743d91-9952-4e80-ad36-697f2abb78d6	TCGA-06-A6S0-01A-01-TS1.B2A0FCFA-ECFE-49CC-ACE8-FFB992648042.svs	64240ad0f0c87280fd3418037c6aa29e	168252911	live
5a46cbbe-d8f7-4f2b-856e-506a35ba0edb	TCGA-14-1043-01B-01-BS1.aee76f84-a96c-4b5b-bf8e-69ae78c1c5ce.svs	27514e5145c4d2667997f5464b964122	91749507	live
